,Date,Ticker,Fund Name,Category,Share Price,NAV,Premium / Discount
0,2023-07-07,JEQ,abrdn Japan Equity Fund,Equity-Asia Equity,5.87,6.77,-0.1329
1,2023-07-07,IFN,The India Fund Inc,Equity-Asia Equity,16.3,16.6,-0.0181
2,2023-07-07,JOF,Japan Smaller Cap Fund,Equity-Asia Equity,7.26,8.6,-0.1558
3,2023-07-07,CAF,Morgan Stanley China A Share,Equity-Asia Equity,12.58,15.52,-0.1894
4,2023-07-07,TDF,Templeton Dragon,Equity-Asia Equity,9.15,10.7,-0.1449
5,2023-07-07,IAE,Voya Asia Pacific High Div Eq Inc Fd,Equity-Asia Equity,5.96,6.96,-0.1437
6,2023-07-07,TWN,Taiwan Fund,Equity-Asia Equity,31.85,38.81,-0.1917
7,2023-07-07,IIF,Morgan Stanley India Investment,Equity-Asia Equity,21.65,26.64,-0.1877
8,2023-07-07,KF,Korea Fund,Equity-Asia Equity,22.51,26.44,-0.1532
9,2023-07-07,CHN,China Fund,Equity-Asia Equity,10.98,12.7,-0.1496
10,2023-07-07,CEF,Sprott Physical Gold and Silver Trust,Equity-Commodities,18.03,18.8,-0.0489
11,2023-07-07,PHYS,Sprott Physical Gold Trust Unit,Equity-Commodities,14.97,15.11,-0.0172
12,2023-07-07,PSLV,Sprott Physical Silver Trust Unit,Equity-Commodities,7.91,8.0,-0.03
13,2023-07-07,SPPP,Sprott Physical Platinum &amp; Palladium Tr,Equity-Commodities,10.92,10.9,-0.0092
14,2023-07-07,IGD,Voya Global Equity Dividend&amp;Prm Opp Fd,Equity-Covered-Call Funds,5.08,5.76,-0.11810000000000001
15,2023-07-07,STK,Columbia Seligman Premium Technology Gr,Equity-Covered-Call Funds,29.87,27.34,0.0925
16,2023-07-07,BOE,BlackRock Enhanced Glbl Div Trust,Equity-Covered-Call Funds,9.92,11.43,-0.1321
17,2023-07-07,BDJ,BlackRock Enhanced Dividend Achievers,Equity-Covered-Call Funds,8.25,8.78,-0.0604
18,2023-07-07,BGY,BlackRock Enhanced Intl Div Trust,Equity-Covered-Call Funds,5.36,6.1,-0.1213
19,2023-07-07,CII,BlackRock Enhanced Capital and Income,Equity-Covered-Call Funds,18.53,19.08,-0.0288
20,2023-07-07,MCN,Madison Covered Call &amp; Eq Strat,Equity-Covered-Call Funds,7.47,7.19,0.038900000000000004
21,2023-07-07,GNT,"GAMCO Natural Resources, Gold &amp; Inc Tr",Equity-Covered-Call Funds,5.01,5.98,-0.16219999999999998
22,2023-07-07,FFA,First Trust Enhanced Equity Income,Equity-Covered-Call Funds,17.56,17.99,-0.0256
23,2023-07-07,QQQX,Nuveen NASDAQ 100 Dynamic Overwrite,Equity-Covered-Call Funds,24.65,24.18,0.0232
24,2023-07-07,BXMX,Nuveen S&amp;P 500 Buy-Write Income,Equity-Covered-Call Funds,13.45,13.71,-0.016
25,2023-07-07,SPXX,Nuveen S&amp;P 500 Dynamic Overwrite,Equity-Covered-Call Funds,15.57,16.12,-0.036000000000000004
26,2023-07-07,EOI,Eaton Vance Enhanced Equity Income,Equity-Covered-Call Funds,16.44,16.43,-0.0128
27,2023-07-07,EOS,Eaton Vance Enhanced Equity Income II,Equity-Covered-Call Funds,17.83,18.42,-0.0337
28,2023-07-07,ETY,Eaton Vance Tax-Managed Divrs Equity Inc,Equity-Covered-Call Funds,12.14,12.33,-0.013000000000000001
29,2023-07-07,ETB,Eaton Vance Tax-Managed Buy-Write Income,Equity-Covered-Call Funds,13.76,14.16,-0.028999999999999998
30,2023-07-07,ETV,Eaton Vance Tax-Managed Buy-Write Opp,Equity-Covered-Call Funds,12.88,13.16,-0.026600000000000002
31,2023-07-07,ETW,Eaton Vance Tx-Mgd Glbl Buy-Write Opp,Equity-Covered-Call Funds,8.11,8.9,-0.0888
32,2023-07-07,EXG,Eaton Vance Tax-Mgd Glb Divrs Equity Inc,Equity-Covered-Call Funds,7.8100000000000005,8.55,-0.0901
33,2023-07-07,ETJ,Eaton Vance Risk-Mgd Divers Eq Inc,Equity-Covered-Call Funds,8.27,8.5,-0.0259
34,2023-07-07,NFJ,AllianzGI Div Interest &amp; Prem Common,Equity-Covered-Call Funds,12.09,14.01,-0.1406
35,2023-07-07,IGA,Voya Global Advantage and Premium Opp Fd,Equity-Covered-Call Funds,8.31,9.66,-0.1449
36,2023-07-07,DIAX,Nuveen Dow 30 Dynamic Overwrite,Equity-Covered-Call Funds,13.85,15.62,-0.1069
37,2023-07-07,IHD,Voya Emerging Markets High Div Eq Fd,Equity-Emerging Market Equity,5.1,5.9399999999999995,-0.1414
38,2023-07-07,EMF,Templeton Emerging Markets,Equity-Emerging Market Equity,11.79,13.7,-0.1394
39,2023-07-07,CEE,The Central and Eastern Europe Fund,Equity-Emerging Market Equity,9.25,8.3,0.11449999999999999
40,2023-07-07,AEF,abrdn Emerging Markets Equity Inc,Equity-Emerging Market Equity,5.11,5.96,-0.1426
41,2023-07-07,MXE,Mexico Equity &amp; Income,Equity-Emerging Market Equity,10.11,14.29,-0.2925
42,2023-07-07,MXF,Mexico Fund,Equity-Emerging Market Equity,16.92,21.56,-0.2245
43,2023-07-07,LGI,Lazard Global Total Return and Income,Equity-Global Equity,15.4,17.12,-0.1005
44,2023-07-07,EEA,European Equity Fund,Equity-Global Equity,8.4,9.81,-0.1437
45,2023-07-07,FDEU,First Trust Dynamic Europe Equity Income,Equity-Global Equity,12.66,13.25,-0.044500000000000005
46,2023-07-07,GGZ,Gabelli Global Small &amp; Mid Cap Value Tru,Equity-Global Equity,11.84,13.92,-0.1494
47,2023-07-07,HEQ,John Hancock Hedged Equity &amp; Income Fund,Equity-Global Equity,10.37,11.35,-0.0863
48,2023-07-07,HTY,JH Tax Advantaged Global Shareholder Yld,Equity-Global Equity,4.64,5.29,-0.1229
49,2023-07-07,AOD,abrdn Total Dynamic Dividend,Equity-Global Equity,8.17,9.35,-0.12619999999999998
50,2023-07-07,AGD,abrdn Global Dynamic Dividend,Equity-Global Equity,9.45,10.79,-0.1242
51,2023-07-07,GLQ,Clough Global Equity,Equity-Global Equity,6.22,7.28,-0.1456
52,2023-07-07,CPZ,Calamos L/S Equity &amp; Dynamic Inc Trust,Equity-Global Equity,15.49,18.1,-0.1442
53,2023-07-07,IDE,Voya Infrastructure Industrials&amp;Matls Fd,Equity-Global Equity,9.58,11.34,-0.1552
