,Date,Ticker,Fund Name,Category,Share Price,NAV,Premium / Discount
0,2023-06-30,JEQ,abrdn Japan Equity Fund,Equity-Asia Equity,6.07,6.86,-0.1152
1,2023-06-30,IFN,The India Fund Inc,Equity-Asia Equity,16.6,16.72,-0.0072
2,2023-06-30,JOF,Japan Smaller Cap Fund,Equity-Asia Equity,7.2,8.51,-0.1539
3,2023-06-30,KF,Korea Fund,Equity-Asia Equity,23.14,26.52,-0.1275
4,2023-06-30,IIF,Morgan Stanley India Investment,Equity-Asia Equity,21.67,26.48,-0.1816
5,2023-06-30,CAF,Morgan Stanley China A Share,Equity-Asia Equity,12.71,15.63,-0.1868
6,2023-06-30,TDF,Templeton Dragon,Equity-Asia Equity,9.11,10.64,-0.1438
7,2023-06-30,IAE,Voya Asia Pacific High Div Eq Inc Fd,Equity-Asia Equity,6.14,7.18,-0.1448
8,2023-06-30,TWN,Taiwan Fund,Equity-Asia Equity,31.335,37.96,-0.18719999999999998
9,2023-06-30,CHN,China Fund,Equity-Asia Equity,11.07,12.82,-0.1412
10,2023-06-30,PHYS,Sprott Physical Gold Trust Unit,Equity-Commodities,14.92,15.09,-0.0171
11,2023-06-30,PSLV,Sprott Physical Silver Trust Unit,Equity-Commodities,7.79,7.9399999999999995,-0.0287
12,2023-06-30,SPPP,Sprott Physical Platinum &amp; Palladium Tr,Equity-Commodities,10.93,10.79,0.0083
13,2023-06-30,CEF,Sprott Physical Gold and Silver Trust,Equity-Commodities,18.02,18.74,-0.045
14,2023-06-30,DIAX,Nuveen Dow 30 Dynamic Overwrite,Equity-Covered-Call Funds,14.11,15.8,-0.107
15,2023-06-30,NFJ,AllianzGI Div Interest &amp; Prem Common,Equity-Covered-Call Funds,12.21,14.16,-0.1377
16,2023-06-30,IGA,Voya Global Advantage and Premium Opp Fd,Equity-Covered-Call Funds,8.54,9.92,-0.1391
17,2023-06-30,IGD,Voya Global Equity Dividend&amp;Prm Opp Fd,Equity-Covered-Call Funds,5.14,5.85,-0.12140000000000001
18,2023-06-30,STK,Columbia Seligman Premium Technology Gr,Equity-Covered-Call Funds,30.66,27.72,0.1061
19,2023-06-30,EOI,Eaton Vance Enhanced Equity Income,Equity-Covered-Call Funds,16.49,16.56,-0.0042
20,2023-06-30,EOS,Eaton Vance Enhanced Equity Income II,Equity-Covered-Call Funds,17.89,18.61,-0.0387
21,2023-06-30,ETY,Eaton Vance Tax-Managed Divrs Equity Inc,Equity-Covered-Call Funds,12.46,12.41,0.004
22,2023-06-30,ETB,Eaton Vance Tax-Managed Buy-Write Income,Equity-Covered-Call Funds,13.89,14.19,-0.021099999999999997
23,2023-06-30,ETV,Eaton Vance Tax-Managed Buy-Write Opp,Equity-Covered-Call Funds,12.78,13.22,-0.0333
24,2023-06-30,ETW,Eaton Vance Tx-Mgd Glbl Buy-Write Opp,Equity-Covered-Call Funds,8.22,9.02,-0.08869999999999999
25,2023-06-30,EXG,Eaton Vance Tax-Mgd Glb Divrs Equity Inc,Equity-Covered-Call Funds,7.92,8.71,-0.0907
26,2023-06-30,ETJ,Eaton Vance Risk-Mgd Divers Eq Inc,Equity-Covered-Call Funds,8.22,8.54,-0.0375
27,2023-06-30,BOE,BlackRock Enhanced Glbl Div Trust,Equity-Covered-Call Funds,10.07,11.59,-0.1311
28,2023-06-30,BDJ,BlackRock Enhanced Dividend Achievers,Equity-Covered-Call Funds,8.34,8.77,-0.0555
29,2023-06-30,BGY,BlackRock Enhanced Intl Div Trust,Equity-Covered-Call Funds,5.44,6.24,-0.1282
30,2023-06-30,CII,BlackRock Enhanced Capital and Income,Equity-Covered-Call Funds,18.51,19.18,-0.0349
