,Date,Ticker,Fund Name,Category,Share Price,NAV,Premium / Discount
0,2023-08-01,JOF,Japan Smaller Cap Fund,Equity-Asia Equity,7.35,8.83,-0.16760000000000003
1,2023-08-01,IFN,The India Fund Inc,Equity-Asia Equity,17.0,17.02,0.0029
2,2023-08-01,KF,Korea Fund,Equity-Asia Equity,24.15,28.25,-0.1469
3,2023-08-01,IIF,Morgan Stanley India Investment,Equity-Asia Equity,22.34,27.31,-0.1826
4,2023-08-01,CAF,Morgan Stanley China A Share,Equity-Asia Equity,13.33,16.63,-0.1906
5,2023-08-01,JEQ,abrdn Japan Equity Fund,Equity-Asia Equity,5.99,6.97,-0.1344
6,2023-08-01,CHN,China Fund,Equity-Asia Equity,12.14,14.44,-0.1343
7,2023-08-01,TWN,Taiwan Fund,Equity-Asia Equity,32.83,40.15,-0.17010000000000003
8,2023-08-01,TDF,Templeton Dragon,Equity-Asia Equity,9.81,11.68,-0.1432
9,2023-08-01,IAE,Voya Asia Pacific High Div Eq Inc Fd,Equity-Asia Equity,6.29,7.33,-0.1364
10,2023-08-01,PHYS,Sprott Physical Gold Trust Unit,Equity-Commodities,15.07,15.54,-0.0154
11,2023-08-01,PSLV,Sprott Physical Silver Trust Unit,Equity-Commodities,8.3,8.7,-0.0287
12,2023-08-01,SPPP,Sprott Physical Platinum &amp; Palladium Tr,Equity-Commodities,11.04,11.36,-0.0018
13,2023-08-01,CEF,Sprott Physical Gold and Silver Trust,Equity-Commodities,18.42,19.7,-0.0508
14,2023-08-01,DIAX,Nuveen Dow 30 Dynamic Overwrite,Equity-Covered-Call Funds,14.46,16.17,-0.1076
15,2023-08-01,NFJ,AllianzGI Div Interest &amp; Prem Common,Equity-Covered-Call Funds,12.79,14.9,-0.1381
16,2023-08-01,IGA,Voya Global Advantage and Premium Opp Fd,Equity-Covered-Call Funds,8.45,9.88,-0.1437
17,2023-08-01,IGD,Voya Global Equity Dividend&amp;Prm Opp Fd,Equity-Covered-Call Funds,5.13,5.91,-0.1231
18,2023-08-01,STK,Columbia Seligman Premium Technology Gr,Equity-Covered-Call Funds,31.0,28.99,0.066
19,2023-08-01,EOI,Eaton Vance Enhanced Equity Income,Equity-Covered-Call Funds,16.71,16.88,-0.0083
