,Ticker,Discount,DistributionRateNAV,DistributionRatePrice,DistributionAmtUSD,ReturnOnNAV,CategoryId,CategoryName,SponsorId,SponsorName,IsManagedDistribution,Price,PriceChange,NAV,NAVPublished,Cusip,Name,LastUpdated,NavTicker,Strategy,LeverageRatioPercentage,MarketCapUSDm,UNIIPerShare,DistributionFrequency,EarningsPerShare,CurrentDistribution,InceptionPrice,AverageCoupon,AMTPercentage,AverageWeightedMaturity,ExpenseRatio,BaselineExpense,TotalAssetsUSDm,IsLeveraged,IsPriceBelow52WkAvg,IsDiscountBelow52WkAvg,IsAMTPct,IsManaged,Term,AvgWtdDurationLevAdj,Yr3RetOnNav,Yr3RetOnPrice,Yr5RetOnNav,Yr5RetOnPrice,YTDRetOnNav,YTDRetOnPrice,SinceInceptionRetOnNav,SinceInceptionRetOnPrice,ReturnOnPrice,AvgDailyVolume,CallableYr1Pct,PrerefundedPercentage,AvgBondPrice,AvgWtdDurationNonLevAdj,EffDurationLevAdj,EffDurationNonLevAdj,Price52WkAvg,Discount52WkAvg,ZScore1Yr,ZScore3M,ZScore6M,ZScoreDate,InceptionDate,InceptionDateString,InceptionDateUnixTimestamp,DistributionDate
0,FAX,-8.11,11.15,12.13,0.0275,6.16,13,Morningstar US CEF Global Income,1,abrdn Inc.,TRUE,2.72,0.02,2.96,2024-06-18T00:00:00,3009107,abrdn Asia-Pacific Income Fund Inc,2024-06-19T00:00:00,XFAPX,Fixed Income - Taxable-Global Income,34.78,673.732,,Monthly,0.08349,0.0275,10,6.4623,,,3.33,,1124.179,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-5.93,-4.94,-1.15,1.32,-0.71,2.96,,,9.97,7978210,,,,,,,2.64847,-11.9554,2.1,1.63,2.04,2024-06-19T00:00:00,1986-04-24T00:00:00,4/24/1986,514684800,2024-05-22T00:00:00
1,IAF,-11.79,9.88,11.2,0.12,15.18,9,Morningstar US CEF Single Country Equity,1,abrdn Inc.,TRUE,4.287,0.06,4.86,2024-06-18T00:00:00,3011103,abrdn Australia Equity Fund Inc,2024-06-19T00:00:00,XIAFX,Equity-Single-Country Equity,6.84,114.108,,Quarterly,0.04579,0.12,10.125,,,,2.03,,138.857,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,2.19,-2.53,7.65,7.56,0.72,2.66,,,15.29,636840,,,,,,,4.16084,-11.61867,-0.11,-0.59,0.19,2024-06-19T00:00:00,1985-12-12T00:00:00,12/12/1985,503193600,2024-05-22T00:00:00
2,AEF,-14.48,6.44,7.53,0.1,10.09,4,Morningstar US CEF Emerging Market Equity,1,abrdn Inc.,TRUE,5.311,0.03,6.21,2024-06-18T00:00:00,00301W105,abrdn Emerging Markets Equity Inc,2024-06-19T00:00:00,XAEFX,Equity-Emerging Market Equity,10,269.543,,Quarterly,-0.00055,0.1,15,,,,2.14,,350.169,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-10.17,-10.27,0.05,-0.39,2.36,2.4,,,10.99,801700,,,,,,,5.02332,-14.78485,0.34,0.57,0.46,2024-06-19T00:00:00,1989-09-25T00:00:00,9/25/1989,622684800,2024-03-20T00:00:00
3,AGD,-14.05,6.89,8.02,0.065,13.96,5,Morningstar US CEF Global Equity,1,abrdn Inc.,TRUE,9.73,0.03,11.32,2024-06-18T00:00:00,00302M106,abrdn Global Dynamic Dividend,2024-06-19T00:00:00,XAGDX,Equity-Global Equity,0.54,241.937,,Monthly,0.30543,0.065,20,,,,1.19,,283.01,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,1.71,0.16,9.32,9.82,4.94,5.7,,,13.77,605020,,,,,,,9.29315,-14.25325,0.26,0.57,0.83,2024-06-19T00:00:00,2006-07-26T00:00:00,7/26/2006,1153872000,2024-05-22T00:00:00
4,FCO,60.22,22.58,14.09,0.07,14.35,13,Morningstar US CEF Global Income,1,abrdn Inc.,TRUE,5.96,0.01,3.72,2024-06-18T00:00:00,3013109,"abrdn Global Income Fund, Inc.",2024-06-19T00:00:00,XFCOX,Fixed Income - Taxable-Global Income,28.97,79.925,,Monthly,0.09311,0.07,15,6.6047,,,4.53,,70.236,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-1.21,-1.28,1.23,6.61,2.87,-8.96,,,21.4,632610,,,,,,,5.80364,48.46131,1.34,1.86,1.69,2024-06-19T00:00:00,1992-02-28T00:00:00,2/28/1992,699235200,2024-05-22T00:00:00
5,ASGI,-8.62,12.55,13.73,0.21,12.97,13,Morningstar US CEF Global Income,1,abrdn Inc.,TRUE,18.35,-0.08,20.08,2024-06-18T00:00:00,00326W106,abrdn Global Infrastructure Income Fund,2024-06-19T00:00:00,XAGIX,Fixed Income - Taxable-Global Income,0,462.541,,Monthly,0.05707,0.21,20,,,,1.65,,506.149,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,3.84,4.34,,,4.3,9.36,,,21.5,710030,,,,,,,17.41648,-14.00421,2.72,1.43,2.09,2024-06-19T00:00:00,2020-07-28T00:00:00,7/28/2020,1595894400,2024-05-22T00:00:00
6,AWP,-0.78,12.44,12.53,0.04,7.48,7,Morningstar US CEF Real Estate,1,abrdn Inc.,TRUE,3.83,0.07,3.86,2024-06-18T00:00:00,00302L108,abrdn Global Premier Properties,2024-06-19T00:00:00,XAWPX,Equity-Real Estate,19.49,327.112,,Monthly,0.02592,0.04,20,,,,2.22,,409.485,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-7.68,-7.77,-1.33,0.8,-5.11,1.93,,,14.84,3169790,,,,,,,3.76855,-6.00333,2.02,1.59,1.82,2024-06-19T00:00:00,2007-04-26T00:00:00,4/26/2007,1177545600,2024-05-22T00:00:00
7,ACP,2.08,17.8,17.44,0.1,16.98,19,Morningstar US CEF Senior Loans,1,abrdn Inc.,TRUE,6.88,-0.03,6.74,2024-06-18T00:00:00,3057106,abrdn Income Credit Strategies Fund,2024-06-19T00:00:00,XACPX,Fixed Income - Taxable-Senior Loans,28.6,369.524,,Monthly,0.20225,0.1,20,7.8363,,,4.56,,507.005,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-2.63,-2.68,1.5,2.73,2.6,6.05,,,20.44,3200550,,,94.6703,,4.1,2.92,6.70027,-2.36983,1.42,1.79,2.42,2024-06-19T00:00:00,2011-01-27T00:00:00,1/27/2011,1296086400,2024-05-22T00:00:00
8,JEQ,-17.37,6.95,8.41,0.12,14.43,1,Morningstar US CEF Asia Equity,1,abrdn Inc.,TRUE,5.71,0,6.91,2024-06-18T00:00:00,00306J109,abrdn Japan Equity Fund,2024-06-19T00:00:00,XJEQX,Equity-Asia Equity,9.49,79.074,,Quarterly,0.01775,0.12,10,,,,1.27,,105.729,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,-3.6,-3.4,4.43,4.9,7.23,7.64,,,15.23,287920,,,,,,,5.77995,-15.2726,-1.51,-1.61,-1.97,2024-06-19T00:00:00,1992-07-24T00:00:00,7/24/1992,711936000,2024-05-22T00:00:00
9,VFL,-13.19,4.46,5.13,0.045,5.08,21,Morningstar US CEF Municipal,1,abrdn Inc.,TRUE,10.521,0.02,12.12,2024-06-18T00:00:00,24610T108,abrdn National Municipal Income Fund,2024-06-19T00:00:00,XVFLX,Fixed Income - Municipal-Municipal,39.95,129.177,,Monthly,0.23791,0.045,15,4.7935,,,4.11,,247.809,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,-4.75,-5.94,-0.51,-1.05,-2.39,-0.37,,,3.59,363690,,,92.1362,,18.47,10.91,9.76403,-15.25318,1.81,1.75,2.17,2024-06-19T00:00:00,1993-02-26T00:00:00,2/26/1993,730684800,2024-05-22T00:00:00
