,Date,Ticker,Fund Name,Category,Share Price,NAV,Premium / Discount
0,2023-07-12,JEQ,abrdn Japan Equity Fund,Equity-Asia Equity,5.9,6.83,-0.1362
1,2023-07-12,IFN,The India Fund Inc,Equity-Asia Equity,16.62,16.78,-0.009500000000000001
2,2023-07-12,JOF,Japan Smaller Cap Fund,Equity-Asia Equity,7.28,8.8,-0.1727
3,2023-07-12,IIF,Morgan Stanley India Investment,Equity-Asia Equity,21.89,26.83,-0.1841
4,2023-07-12,CAF,Morgan Stanley China A Share,Equity-Asia Equity,12.78,15.82,-0.19219999999999998
5,2023-07-12,TDF,Templeton Dragon,Equity-Asia Equity,9.36,11.0,-0.1491
6,2023-07-12,IAE,Voya Asia Pacific High Div Eq Inc Fd,Equity-Asia Equity,6.16,7.14,-0.1373
7,2023-07-12,TWN,Taiwan Fund,Equity-Asia Equity,32.46,38.96,-0.1802
8,2023-07-12,KF,Korea Fund,Equity-Asia Equity,23.45,26.82,-0.1503
9,2023-07-12,CHN,China Fund,Equity-Asia Equity,11.32,13.06,-0.1547
10,2023-07-12,PHYS,Sprott Physical Gold Trust Unit,Equity-Commodities,15.23,15.28,-0.0164
11,2023-07-12,PSLV,Sprott Physical Silver Trust Unit,Equity-Commodities,8.22,8.14,-0.028300000000000002
12,2023-07-12,SPPP,Sprott Physical Platinum &amp; Palladium Tr,Equity-Commodities,11.12,11.08,-0.016200000000000003
13,2023-07-12,CEF,Sprott Physical Gold and Silver Trust,Equity-Commodities,18.45,19.04,-0.053
14,2023-07-12,IGA,Voya Global Advantage and Premium Opp Fd,Equity-Covered-Call Funds,8.43,9.7,-0.1309
15,2023-07-12,IGD,Voya Global Equity Dividend&amp;Prm Opp Fd,Equity-Covered-Call Funds,5.16,5.81,-0.1119
16,2023-07-12,NFJ,AllianzGI Div Interest &amp; Prem Common,Equity-Covered-Call Funds,12.47,14.47,-0.1382
17,2023-07-12,STK,Columbia Seligman Premium Technology Gr,Equity-Covered-Call Funds,30.24,27.95,0.0819
18,2023-07-12,BOE,BlackRock Enhanced Glbl Div Trust,Equity-Covered-Call Funds,10.08,11.53,-0.1258
19,2023-07-12,BDJ,BlackRock Enhanced Dividend Achievers,Equity-Covered-Call Funds,8.37,8.87,-0.0564
20,2023-07-12,BGY,BlackRock Enhanced Intl Div Trust,Equity-Covered-Call Funds,5.46,6.16,-0.11359999999999999
21,2023-07-12,CII,BlackRock Enhanced Capital and Income,Equity-Covered-Call Funds,18.94,19.27,-0.0171
22,2023-07-12,MCN,Madison Covered Call &amp; Eq Strat,Equity-Covered-Call Funds,7.71,7.3,0.0562
23,2023-07-12,GNT,"GAMCO Natural Resources, Gold &amp; Inc Tr",Equity-Covered-Call Funds,5.1,6.2,-0.17739999999999997
24,2023-07-12,FFA,First Trust Enhanced Equity Income,Equity-Covered-Call Funds,17.76,18.08,-0.029900000000000003
25,2023-07-12,QQQX,Nuveen NASDAQ 100 Dynamic Overwrite,Equity-Covered-Call Funds,24.88,24.14,0.0207
26,2023-07-12,BXMX,Nuveen S&amp;P 500 Buy-Write Income,Equity-Covered-Call Funds,13.59,13.75,-0.014499999999999999
27,2023-07-12,SPXX,Nuveen S&amp;P 500 Dynamic Overwrite,Equity-Covered-Call Funds,15.74,16.21,-0.0344
28,2023-07-12,EOI,Eaton Vance Enhanced Equity Income,Equity-Covered-Call Funds,16.68,16.48,0.0042
29,2023-07-12,EOS,Eaton Vance Enhanced Equity Income II,Equity-Covered-Call Funds,18.23,18.49,-0.0246
30,2023-07-12,ETY,Eaton Vance Tax-Managed Divrs Equity Inc,Equity-Covered-Call Funds,12.42,12.36,-0.0024
31,2023-07-12,ETB,Eaton Vance Tax-Managed Buy-Write Income,Equity-Covered-Call Funds,13.97,14.22,-0.0217
32,2023-07-12,ETV,Eaton Vance Tax-Managed Buy-Write Opp,Equity-Covered-Call Funds,13.19,13.2,-0.0068000000000000005
33,2023-07-12,ETW,Eaton Vance Tx-Mgd Glbl Buy-Write Opp,Equity-Covered-Call Funds,8.31,9.01,-0.0868
34,2023-07-12,EXG,Eaton Vance Tax-Mgd Glb Divrs Equity Inc,Equity-Covered-Call Funds,7.95,8.63,-0.0904
35,2023-07-12,ETJ,Eaton Vance Risk-Mgd Divers Eq Inc,Equity-Covered-Call Funds,8.38,8.52,-0.0222
36,2023-07-12,DIAX,Nuveen Dow 30 Dynamic Overwrite,Equity-Covered-Call Funds,14.17,15.76,-0.10220000000000001
37,2023-07-12,IHD,Voya Emerging Markets High Div Eq Fd,Equity-Emerging Market Equity,5.25,6.09,-0.1379
38,2023-07-12,EMF,Templeton Emerging Markets,Equity-Emerging Market Equity,12.21,14.16,-0.1377
39,2023-07-12,CEE,The Central and Eastern Europe Fund,Equity-Emerging Market Equity,9.355,8.76,0.0679
40,2023-07-12,AEF,abrdn Emerging Markets Equity Inc,Equity-Emerging Market Equity,5.27,6.13,-0.14029999999999998
41,2023-07-12,MXE,Mexico Equity &amp; Income,Equity-Emerging Market Equity,10.3,14.51,-0.2901
42,2023-07-12,MXF,Mexico Fund,Equity-Emerging Market Equity,17.21,22.11,-0.2293
43,2023-07-12,LGI,Lazard Global Total Return and Income,Equity-Global Equity,15.45,17.55,-0.1197
44,2023-07-12,EEA,European Equity Fund,Equity-Global Equity,8.59,10.19,-0.157
